analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.45,0.807049311811851,0.7889868234329308,0.2714550849754819,0.2734307715968037,0.16672948880925395,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.46,0.807049311811851,0.7889868234329308,0.27242538257469184,0.27369025885027665,0.17240784342686657,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.47000000000000003,0.807049311811851,0.7889868234329308,0.27319048306134747,0.2739021936526557,0.17821922371435894,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.48000000000000004,0.807049311811851,0.7889868234329308,0.27375050223500547,0.274066902608974,0.18416835962391043,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.49,0.807049311811851,0.7889868234329308,0.2741054975030157,0.27418461573513875,0.19026020803925425,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.5,0.807049311811851,0.7889868234329308,0.2742554679785244,0.2742554679785244,0.19649996655042423,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.01,0.6915400611727838,0.8713569297045841,0.011957089389132147,0.14799635212249854,0.0035630123220228346,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.02,0.6915400611727838,0.8713569297045841,0.02352083166756077,0.1662948348816338,0.007172661343730414,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.03,0.6915400611727838,0.8713569297045841,0.03470459076171173,0.17852903485175942,0.010829868747240417,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.04,0.6915400611727838,0.8713569297045841,0.04552066467514039,0.18787508110571696,0.0145355806626913,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.05,0.6915400611727838,0.8713569297045841,0.055980404086688335,0.19546438150187126,0.018290768484271712,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.060000000000000005,0.6915400611727838,0.8713569297045841,0.06609431388184439,0.20184864694957616,0.022096429719154626,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.06999999999999999,0.6915400611727838,0.8713569297045841,0.0758721405781875,0.20734418338779545,0.025953588870894592,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.08,0.6915400611727838,0.8713569297045841,0.0853229480098181,0.21215157344890373,0.029863298358931558,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.09,0.6915400611727838,0.8713569297045841,0.09445518317514573,0.21640713626086408,0.03382663947593453,0.1280262761348617
