source,review_id,group_id,sensitivity,specificity,information_bits_at_20_percent,diagnostic_entropy_reduction_at_20_percent,zero_cell_study_fraction,pooled_sensitivity_median,pooled_specificity_median,information_bits_at_20_percent_median,relative_information_at_20_percent_median,canonical_reml_plugin_information_bits_at_20_percent,direct_binomial_plugin_information_bits_at_20_percent,absolute_like_for_like_plugin_information_bits_at_20_percent_difference,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,absolute_relative_information_at_20_percent_percentage_points_difference
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:10,0.790153319101319,0.7820096655781336,0.1639601073560512,0.22711418009245482,0.18181818181818182,0.8665136864819536,0.8317646484036516,0.2543671727535307,0.3523441940477714,0.1639601073560512,0.25441785116787763,0.09045774381182642,0.07636036738063456,0.049754982825518046,0.0904070653974795,12.523001395531658
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:13,0.7666802580160103,0.8671968549978409,0.2172982283438017,0.300997052037025,0.07142857142857142,0.7935016441012728,0.8714514949879748,0.2392013264167882,0.3313367745496998,0.2172982283438017,0.2393577067206071,0.022059478376805414,0.026821386085262522,0.004254639990133868,0.021903098072986515,3.0339722512674805
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:19,0.6751929225211832,0.8625764314376763,0.15935243643051678,0.22073172876777913,0.0,0.6283920051398157,0.8758094329113562,0.1455360276809677,0.2015935225566678,0.15935243643051678,0.14583792787010924,0.013514508560407534,0.04680091738136749,0.013233001473679895,0.013816408749549064,1.9138206211111342
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:5,0.6596225489258236,0.7953974781492943,0.1059874293730147,0.14681161479046084,0.0,0.6668850415062869,0.7725650152289527,0.0967168271569021,0.133970166616098,0.1059874293730147,0.09679903329442069,0.009188396078594008,0.007262492580463298,0.02283246292034158,0.009270602216112603,1.2841448174362835
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:4,0.9475585226317367,0.7585283849129074,0.2626000779947182,0.3637482456416798,0.6666666666666666,0.9737916340220958,0.7893787245653378,0.3139175020610441,0.4348320896280155,0.2626000779947182,0.3162163334315614,0.05361625543684323,0.02623311139035911,0.030850339652430336,0.05131742406632589,7.1083843986335715
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:5,0.9083154677846662,0.888395267119881,0.3506165896709976,0.4856669135805028,0.5714285714285714,0.9390373134853632,0.9277810610412772,0.4316424604901904,0.5979022890881353,0.3506165896709976,0.43863022724913325,0.08801363757813563,0.030721845700697026,0.039385793921396184,0.08102587081919277,11.223537550763247
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:6,0.7013689888765239,0.9019087449901481,0.21161786821041056,0.2931287336080582,0.3333333333333333,0.7525617290615503,0.9233740902093264,0.2685147779634448,0.3719411668073943,0.21161786821041056,0.2713537196190206,0.05973585140861004,0.0511927401850264,0.02146534521917831,0.05689690975303424,7.881243319933612
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:7,0.5296895456684549,0.9088869510038831,0.12587683779182085,0.17436201566786313,0.25,0.5186175956085267,0.9247273877715768,0.1340979888315921,0.1857497855828905,0.12587683779182085,0.1356172835750704,0.009740445783249563,0.011071950059928226,0.015840436767693755,0.008221151039771252,1.138776991502735
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:8,0.8721266176995836,0.8650018328742761,0.29162667259094005,0.40395528953121107,0.4,0.9189110867973656,0.9295838280216288,0.4151275902525157,0.5750262293328332,0.29162667259094005,0.4200509856391549,0.12842431304821483,0.046784469097782,0.06458199514735263,0.12350091766157567,17.10709398016221
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:9,0.8862525549894692,0.7930377495653232,0.23675988892197933,0.32795494537294523,0.3076923076923077,0.9031961445990226,0.8436922964157904,0.2924712057878803,0.4051251196055927,0.23675988892197933,0.2960515432339191,0.05929165431193975,0.016943589609553444,0.05065454685046711,0.055711316865900945,7.71701742326475
