source,source_version,review_id,review_title,doi,source_file,source_sha256,included_study_records,test_groups,stored_study_test_rows,reported_findings,model_candidates,primary_candidates
OSF,0.26.0,OSF:vjz63,Quantitative Hyperattenuation Markers on Non-Contrast CT for Cerebral Venous Sinus Thrombosis: Dataset and Analysis Code,,CVST_project_handoff_v9.zip,c7db86b10b1e2279fddc9b60d90378fb022ef6bc4b3aaeea95083c51e9f08e98,18,3,18,0,2,1
PMC Open Access,0.26.0,PMC:PMC10021667,Diagnostic accuracy of antigen-detection rapid diagnostic tests for diagnosis of COVID-19 in low-and middle-income countries: A systematic review and meta-analysis,,PMC10021667.xml,38bb38109df03447bf24b1cceecce36f672cb942c4a5abad1491c2f37afb7f6f,12,1,12,0,1,1
PMC Open Access,0.26.0,PMC:PMC10039610,Whether the Golgi protein 73 could be a diagnostic serological marker in hepatocellular carcinoma: a meta analysis,,PMC10039610.xml,cba9720feac9946780f5f14cce1ce29f81e8176eaf411b3cebbc717d841b1d27,36,1,36,0,1,1
PMC Open Access,0.26.0,PMC:PMC10050355,Subscapularis tendon tear classification and diagnosis: A systemic review and meta-analysis,,PMC10050355.xml,4cf2f4f900b592400bc089d5a41aa585ba929bf9af2ec1b39e1d8eca7f8d9247,22,1,22,0,1,1
PMC Open Access,0.26.0,PMC:PMC10052363,High-Resolution Computed Tomography as an Initial Diagnostic and Localization Tool in Patients with Cerebrospinal Fluid Rhinorrhea: A Meta-Analysis,,PMC10052363.xml,b92583100d2899416ef1857fb30628b5d458a0d8e734e0bf8950f4a672f7a7dc,8,1,8,0,1,1
PMC Open Access,0.26.0,PMC:PMC10063291,Accuracy of ultrasound for the diagnosis of acute appendicitis in the emergency department: A systematic review,,PMC10063291.xml,069de2e1305a28c7ee06964fce8a22207cc7d0280ff5dc6925cde7293cdbf84b,21,1,21,0,1,1
PMC Open Access,0.26.0,PMC:PMC10073650,Circulating tumor cells in peripheral blood as a diagnostic biomarker of breast cancer: A meta-analysis,,PMC10073650.xml,1b3366e318530e35b88c1182ace21bc757488c8940b71058e5d62f5f054edafc,7,1,8,0,0,0
PMC Open Access,0.26.0,PMC:PMC10073854,Influence of biliary stents on the diagnostic outcome of endoscopic ultrasound–guided tissue acquisition from solid pancreatic lesions: a systematic review and meta-analysis,,PMC10073854.xml,9764a0e3c048a695c4de845ca8b21209e18e76fdf5d23d12b809994c9cc53190,5,2,14,0,0,0
PMC Open Access,0.26.0,PMC:PMC10106543,Meta-analysis of diagnostic test accuracy studies with multiple thresholds for data integration,,PMC10106543.xml,4b4473c57f035eca50cc47f1d3f6ae5dbc0981d3ca0d06263cf6a22c6c1c1f8c,13,1,34,0,0,0
PMC Open Access,0.26.0,PMC:PMC10116981,Accuracy of narrow‐band imaging for diagnosing malignant transformation of vocal cord leukoplakia: A systematic review and meta‐analysis,,PMC10116981.xml,e5674ab235254e581e814eb6d54f8a2a5771bcd7353e47ad7b3fba7947818fa1,9,1,9,0,1,1
