replicate,median_fraction_5,median_fraction_20,median_fraction_50,sampled_profile_count
151,0.25767632349563907,0.3248366825722654,0.35060529108354344,262
152,0.2627361016291179,0.3207463669480786,0.3488758936849697,286
153,0.2670031859747757,0.3304200150088693,0.3521891233767951,276
154,0.2131452633971473,0.2706436980553844,0.2932019589525325,273
155,0.2331667147670941,0.2913044791597471,0.3096279725491575,283
156,0.22896309794785716,0.28835138253588244,0.3069087782979427,274
157,0.2209140722782021,0.276815873956559,0.3007749257082882,266
158,0.2420897503029084,0.304637214214681,0.3325072554080014,226
159,0.2295689729788875,0.2913044791597471,0.3182846657171155,260
160,0.2680337277807481,0.3347008939185135,0.35060529108354344,262
161,0.2295689729788875,0.2913044791597471,0.314132726882343,255
162,0.2475169164389699,0.3176659554135705,0.3339897366429449,261
163,0.2227199369335751,0.2785574050284445,0.3056522978479856,273
164,0.2407504271599652,0.3031004753118667,0.3325831437287708,279
165,0.27510215869070015,0.3347008939185135,0.352299362191514,272
166,0.2253723096026641,0.28715921561010493,0.3056522978479856,258
167,0.2297406615159508,0.2897856256043002,0.30668668632525836,288
168,0.2295689729788875,0.2913044791597471,0.3069087782979427,273
169,0.2331667147670941,0.29100889030805643,0.3100922574296808,278
170,0.2225513998401464,0.2789206831769446,0.3007749257082882,261
